BASE_YEAR,BASE_MONTH,GU_DC,PC20_CNT,PC40_CNT,PC60_CNT,PC61_CNT
2014,3,강서구,11584,24508,3123,1244
2014,3,금정구,55240,96722,11986,5093
2014,3,기장군,17196,36964,4786,1764
2014,3,남구,57488,102275,11552,4262
2014,3,동구,18074,29519,2231,563
2014,3,동래구,51258,102090,13852,5723
2014,3,부산진구,76527,144004,16102,5579
2014,3,북구,61050,118414,13634,4391
2014,3,사상구,55228,103337,8775,2172
2014,3,사하구,72197,141813,14618,4258
2014,3,서구,20355,34142,3190,1130
2014,3,수영구,36589,69025,7900,3550
2014,3,연제구,40704,80308,10745,4233
2014,3,영도구,28844,48390,4010,1027
2014,3,중구,8940,14944,1077,260
2014,3,해운대구,81448,165309,26477,14413
2014,6,강서구,11596,25177,3133,1276
2014,6,금정구,55374,97534,11859,5166
2014,6,기장군,17234,37862,4829,1806
2014,6,남구,56903,103009,11630,4312
2014,6,동구,17970,29673,2216,583
2014,6,동래구,50827,102635,13834,5804
2014,6,부산진구,75748,145364,16164,5613
2014,6,북구,60401,118731,13586,4476
2014,6,사상구,54787,103738,8803,2194
2014,6,사하구,71473,142828,14552,4303
2014,6,서구,20341,34437,3197,1152
2014,6,수영구,36305,69628,7822,3540
2014,6,연제구,40225,81170,10710,4289
2014,6,영도구,28500,48768,4026,1016
2014,6,중구,8911,15163,1096,267
2014,6,해운대구,80738,166305,26057,14589
2014,9,강서구,12521,28215,3690,1588
2014,9,금정구,58320,103969,12697,5666
2014,9,기장군,20188,44086,5579,2090
2014,9,남구,61683,110903,12038,4486
2014,9,동구,22009,36194,2574,664
2014,9,동래구,58613,116286,14631,6161
2014,9,부산진구,84404,160570,17094,5799
2014,9,북구,67996,131045,14718,4877
2014,9,사상구,59351,111595,9167,2280
2014,9,사하구,75858,150930,15071,4465
2014,9,서구,24254,41023,3653,1328
2014,9,수영구,39163,76196,8522,3820
2014,9,연제구,45512,90252,11395,4647
2014,9,영도구,30791,52794,4260,1101
2014,9,중구,10316,17812,1222,315
2014,9,해운대구,85821,176216,27187,15557
2014,12,강서구,12640,29111,3993,1660
2014,12,금정구,58685,104664,12828,5710
2014,12,기장군,20634,45311,5798,2158
2014,12,남구,62342,111011,12008,4634
2014,12,동구,22095,36284,2578,688
2014,12,동래구,59036,117612,15028,6234
2014,12,부산진구,84251,160544,17049,5842
2014,12,북구,68238,130940,14730,4861
2014,12,사상구,59556,111857,9235,2251
2014,12,사하구,76031,150964,15118,4456
2014,12,서구,24502,40956,3646,1326
2014,12,수영구,39278,76367,8553,3821
2014,12,연제구,45627,90332,11386,4646
2014,12,영도구,30653,53040,4220,1098
2014,12,중구,10353,17835,1216,302
2014,12,해운대구,86485,177745,27566,16440
2015,3,강서구,12782,30363,4237,1757
2015,3,금정구,58962,104832,12953,5788
2015,3,기장군,21127,46329,5960,2216
2015,3,남구,62562,110991,12171,4743
2015,3,동구,22200,36375,2581,685
2015,3,동래구,59361,117833,14961,6410
2015,3,부산진구,85294,161520,17028,5969
2015,3,북구,68462,131295,14692,4926
2015,3,사상구,59658,111813,9145,2253
2015,3,사하구,76411,151146,15113,4452
2015,3,서구,24739,41384,3650,1363
2015,3,수영구,39381,76392,8428,3870
2015,3,연제구,45788,90541,11331,4791
2015,3,영도구,30783,52881,4293,1061
2015,3,중구,10425,17930,1159,291
2015,3,해운대구,87165,178594,27765,16763
2015,6,강서구,13050,31024,4403,1830
2015,6,금정구,59445,104437,13061,5883
2015,6,기장군,21368,47423,6208,2341
2015,6,남구,62937,110602,12193,4875
2015,6,동구,22260,36438,2607,716
2015,6,동래구,59546,117830,15060,6593
2015,6,부산진구,85655,161550,17174,6146
2015,6,북구,68741,130865,14914,5077
2015,6,사상구,59757,111612,9253,2271
2015,6,사하구,76366,150908,15119,4432
2015,6,서구,24839,41431,3754,1380
2015,6,수영구,39498,76511,8432,3963
2015,6,연제구,45521,90209,11255,4909
2015,6,영도구,30821,52956,4237,1100
2015,6,중구,10440,17981,1167,300
2015,6,해운대구,87265,178673,27921,17171
2015,9,강서구,13564,32804,4685,2000
2015,9,금정구,59752,104824,13192,6096
2015,9,기장군,21499,48170,6447,2410
2015,9,남구,63410,110515,12486,5019
2015,9,동구,22490,36670,2688,742
2015,9,동래구,59716,118202,15275,6741
2015,9,부산진구,86342,162395,17391,6334
2015,9,북구,68376,129674,14817,5043
2015,9,사상구,59789,112263,9362,2376
2015,9,사하구,76861,151519,15305,4545
2015,9,서구,24887,41855,3845,1391
2015,9,수영구,39389,77013,8648,4043
2015,9,연제구,45623,91066,11664,5090
2015,9,영도구,30994,53270,4263,1159
2015,9,중구,10524,18159,1249,295
2015,9,해운대구,87784,179428,28171,17565
2015,12,강서구,13611,34260,5071,2182
2015,12,금정구,60852,105348,13069,6341
2015,12,기장군,21892,48713,6613,2468
2015,12,남구,67718,118964,14957,7347
