BASE_YEAR,BASE_MONTH,MANAGE_CODE_NAME,CLASS_NO_NAME,AGE_DC,VALUE
2019,1,강서기적의도서관,기술과학,10,69
2019,1,강서기적의도서관,기술과학,20,53
2019,1,강서기적의도서관,기술과학,30,19
2019,1,강서기적의도서관,기술과학,40,172
2019,1,강서기적의도서관,기술과학,50,163
2019,1,강서기적의도서관,기술과학,60,30
2019,1,강서기적의도서관,기술과학,70,20
2019,1,강서기적의도서관,기술과학,80,2
2019,1,강서기적의도서관,기술과학,90,3
2019,1,강서기적의도서관,문학,10,1737
2019,1,강서기적의도서관,문학,20,655
2019,1,강서기적의도서관,문학,30,95
2019,1,강서기적의도서관,문학,40,1790
2019,1,강서기적의도서관,문학,50,1503
2019,1,강서기적의도서관,문학,60,109
2019,1,강서기적의도서관,문학,70,104
2019,1,강서기적의도서관,문학,80,11
2019,1,강서기적의도서관,사회과학,10,261
2019,1,강서기적의도서관,사회과학,20,97
2019,1,강서기적의도서관,사회과학,30,19
2019,1,강서기적의도서관,사회과학,40,451
2019,1,강서기적의도서관,사회과학,50,260
2019,1,강서기적의도서관,사회과학,60,26
2019,1,강서기적의도서관,사회과학,70,25
2019,1,강서기적의도서관,언어,10,293
2019,1,강서기적의도서관,언어,20,120
2019,1,강서기적의도서관,언어,30,8
2019,1,강서기적의도서관,언어,40,314
2019,1,강서기적의도서관,언어,50,215
2019,1,강서기적의도서관,언어,60,17
2019,1,강서기적의도서관,언어,70,12
2019,1,강서기적의도서관,언어,80,10
2019,1,강서기적의도서관,역사,10,140
2019,1,강서기적의도서관,역사,20,132
2019,1,강서기적의도서관,역사,30,12
2019,1,강서기적의도서관,역사,40,231
2019,1,강서기적의도서관,역사,50,302
2019,1,강서기적의도서관,역사,60,26
2019,1,강서기적의도서관,역사,70,7
2019,1,강서기적의도서관,역사,90,4
2019,1,강서기적의도서관,예술,10,14
2019,1,강서기적의도서관,예술,20,21
2019,1,강서기적의도서관,예술,30,2
2019,1,강서기적의도서관,예술,40,36
2019,1,강서기적의도서관,예술,50,48
2019,1,강서기적의도서관,예술,60,4
2019,1,강서기적의도서관,예술,70,4
2019,1,강서기적의도서관,예술,80,1
2019,1,강서기적의도서관,예술,90,2
2019,1,강서기적의도서관,자연과학,10,323
2019,1,강서기적의도서관,자연과학,20,215
2019,1,강서기적의도서관,자연과학,30,2
2019,1,강서기적의도서관,자연과학,40,309
2019,1,강서기적의도서관,자연과학,50,389
2019,1,강서기적의도서관,자연과학,60,13
2019,1,강서기적의도서관,자연과학,70,8
2019,1,강서기적의도서관,자연과학,80,1
2019,1,강서기적의도서관,종교,10,11
2019,1,강서기적의도서관,종교,20,5
2019,1,강서기적의도서관,종교,30,1
2019,1,강서기적의도서관,종교,40,23
2019,1,강서기적의도서관,종교,50,23
2019,1,강서기적의도서관,종교,60,3
2019,1,강서기적의도서관,종교,70,8
2019,1,강서기적의도서관,철학,10,35
2019,1,강서기적의도서관,철학,20,32
2019,1,강서기적의도서관,철학,30,12
2019,1,강서기적의도서관,철학,40,74
2019,1,강서기적의도서관,철학,50,74
2019,1,강서기적의도서관,철학,60,17
2019,1,강서기적의도서관,철학,70,1
2019,1,강서기적의도서관,철학,90,4
2019,1,강서기적의도서관,총류,10,106
2019,1,강서기적의도서관,총류,20,77
2019,1,강서기적의도서관,총류,30,7
2019,1,강서기적의도서관,총류,40,90
2019,1,강서기적의도서관,총류,50,122
2019,1,강서기적의도서관,총류,60,15
2019,1,강서기적의도서관,총류,70,4
2019,1,구덕도서관,기술과학,10,12
2019,1,구덕도서관,기술과학,100,9
2019,1,구덕도서관,기술과학,20,99
2019,1,구덕도서관,기술과학,30,33
2019,1,구덕도서관,기술과학,40,96
2019,1,구덕도서관,기술과학,50,110
2019,1,구덕도서관,기술과학,60,70
2019,1,구덕도서관,기술과학,70,45
2019,1,구덕도서관,기술과학,80,15
2019,1,구덕도서관,기술과학,90,4
2019,1,구덕도서관,문학,10,359
2019,1,구덕도서관,문학,100,22
2019,1,구덕도서관,문학,20,557
2019,1,구덕도서관,문학,30,242
2019,1,구덕도서관,문학,40,516
2019,1,구덕도서관,문학,50,763
2019,1,구덕도서관,문학,60,378
2019,1,구덕도서관,문학,70,186
2019,1,구덕도서관,문학,80,68
2019,1,구덕도서관,문학,90,15
2019,1,구덕도서관,사회과학,10,56
2019,1,구덕도서관,사회과학,100,3
2019,1,구덕도서관,사회과학,20,120
2019,1,구덕도서관,사회과학,30,53
2019,1,구덕도서관,사회과학,40,103
2019,1,구덕도서관,사회과학,50,165
2019,1,구덕도서관,사회과학,60,64
2019,1,구덕도서관,사회과학,70,34
2019,1,구덕도서관,사회과학,80,1
2019,1,구덕도서관,사회과학,90,13
2019,1,구덕도서관,언어,10,38
2019,1,구덕도서관,언어,100,1
2019,1,구덕도서관,언어,20,56
2019,1,구덕도서관,언어,30,13
2019,1,구덕도서관,언어,40,67
2019,1,구덕도서관,언어,50,86
2019,1,구덕도서관,언어,60,36
2019,1,구덕도서관,언어,70,9
2019,1,구덕도서관,언어,80,2
2019,1,구덕도서관,역사,10,54
2019,1,구덕도서관,역사,100,2
2019,1,구덕도서관,역사,20,152
2019,1,구덕도서관,역사,30,29
2019,1,구덕도서관,역사,40,93
2019,1,구덕도서관,역사,50,253
2019,1,구덕도서관,역사,60,63
2019,1,구덕도서관,역사,70,30
2019,1,구덕도서관,역사,80,7
2019,1,구덕도서관,역사,90,6
2019,1,구덕도서관,예술,10,32
2019,1,구덕도서관,예술,100,1
2019,1,구덕도서관,예술,20,75
2019,1,구덕도서관,예술,30,22
2019,1,구덕도서관,예술,40,42
2019,1,구덕도서관,예술,50,117
2019,1,구덕도서관,예술,60,36
2019,1,구덕도서관,예술,70,29
2019,1,구덕도서관,예술,80,3
2019,1,구덕도서관,자연과학,10,124
2019,1,구덕도서관,자연과학,100,11
2019,1,구덕도서관,자연과학,20,225
2019,1,구덕도서관,자연과학,30,8
2019,1,구덕도서관,자연과학,40,74
2019,1,구덕도서관,자연과학,50,222
