BASE_YEAR,BASE_MONTH,GU_DC,PY30_AVG_VALUE,PY40_AVG_VALUE
2015,3,강서구,1.1,2.1
2015,3,금정구,2,3
2015,3,기장군,-8.7,-1
2015,3,남구,-1.6,-0.9
2015,3,동구,2.1,1.6
2015,3,동래구,-5.5,-5.2
2015,3,부산진구,1.2,-1.4
2015,3,북구,-2.1,-0.5
2015,3,사상구,-2.1,-0.7
2015,3,사하구,0.1,-0
2015,3,서구,0.1,-1.9
2015,3,수영구,-2.5,-1.6
2015,3,연제구,-4.5,-0.8
2015,3,영도구,-2.9,0.1
2015,3,중구,0.9,2.7
2015,3,해운대구,-2.5,-0.2
2015,6,강서구,-0.5,0.1
2015,6,금정구,-0.3,1.3
2015,6,기장군,-10.5,-1.5
2015,6,남구,-1.6,-0.9
2015,6,동구,1.4,1.5
2015,6,동래구,-7,-5.2
2015,6,부산진구,1.5,-1.3
2015,6,북구,-2.2,-0.3
2015,6,사상구,-1.9,-0.5
2015,6,사하구,0,0
2015,6,서구,0.8,-2
2015,6,수영구,-2.8,-1.6
2015,6,연제구,-4.4,-0.4
2015,6,영도구,-2.9,0
2015,6,중구,1.7,4.4
2015,6,해운대구,-2.5,-0.2
2015,9,강서구,0.7,5.2
2015,9,금정구,1.5,1.9
2015,9,기장군,0.1,-0.3
2015,9,남구,0.2,0.2
2015,9,동구,1.4,0.4
2015,9,동래구,-0.2,-0.6
2015,9,부산진구,1.8,0.9
2015,9,북구,0.6,0.2
2015,9,사상구,-0.6,0
2015,9,사하구,0.8,0.1
2015,9,서구,-0.7,0.7
2015,9,수영구,-0.1,0.5
2015,9,연제구,0.9,0.9
2015,9,영도구,-0.6,0.2
2015,9,중구,2.2,2.2
2015,9,해운대구,0.3,0.7
2015,12,강서구,0,2.9
2015,12,금정구,-0.1,1.4
2015,12,기장군,0.8,0.1
2015,12,남구,0.8,0.8
2015,12,동구,1.5,0.8
2015,12,동래구,0.2,0.4
2015,12,부산진구,1.8,0.7
2015,12,북구,-1.9,-0.2
2015,12,사상구,-1.3,-0.2
2015,12,사하구,0.5,-0.1
2015,12,서구,0.7,1.4
2015,12,수영구,0.3,0.5
2015,12,연제구,0.3,0.9
2015,12,영도구,-0.1,0
2015,12,중구,0.7,-0.1
2015,12,해운대구,2.3,1
2016,3,강서구,-43.7,-14
2016,3,금정구,-14.4,-6.6
2016,3,기장군,-4.1,-5.3
2016,3,남구,-2.2,-1.7
2016,3,동구,-12.4,-2.3
2016,3,동래구,-2.2,-1
2016,3,부산진구,-0.1,-0.1
2016,3,북구,-3,-0.2
2016,3,사상구,-3.4,-0.7
2016,3,사하구,0.5,-0.7
2016,3,서구,-7.1,-2.5
2016,3,수영구,0.8,-0.9
2016,3,연제구,-2.3,-0.4
2016,3,영도구,-2.8,-1.7
2016,3,중구,-33.2,-11
2016,3,해운대구,3.4,1.6
2016,6,강서구,-42.3,-13.1
2016,6,금정구,-13.1,-5.3
2016,6,기장군,-4.3,-5.7
2016,6,남구,-1,0.3
2016,6,동구,-12.7,-2.5
2016,6,동래구,-3.5,-0.8
2016,6,부산진구,0.2,-0.1
2016,6,북구,-3,-0.4
2016,6,사상구,-3.2,-0.8
2016,6,사하구,0.3,-0.8
2016,6,서구,-7.7,-2.8
2016,6,수영구,0.7,-1
2016,6,연제구,1.8,-3.1
2016,6,영도구,-2.9,-1.8
2016,6,중구,-34.4,-13.3
2016,6,해운대구,3.3,1.5
2016,9,강서구,-43,-16.5
2016,9,금정구,-13.2,-5.5
2016,9,기장군,-4.9,-5.7
2016,9,남구,-0.9,0.4
2016,9,동구,-13.3,-2.4
2016,9,동래구,-3.5,-0.9
2016,9,부산진구,0.4,-0.2
2016,9,북구,-2.6,-0.3
2016,9,사상구,-3.1,-1
2016,9,사하구,0.5,-0.7
2016,9,서구,-6.8,-3.8
2016,9,수영구,1,-0.7
2016,9,연제구,1.2,-3.3
2016,9,영도구,-2.9,-1.7
2016,9,중구,-32.2,-11.1
2016,9,해운대구,3,1.5
