BASE_YEAR,BASE_MONTH,GU_DC,WORKTIME_DC,MV_CNT
2016,1,강서구,출근,32833
2016,1,강서구,퇴근,20904
2016,1,금정구,출근,11695
2016,1,금정구,퇴근,12641
2016,1,기장군,출근,32420
2016,1,기장군,퇴근,30681
2016,1,남구,출근,12802
2016,1,남구,퇴근,13923
2016,1,동구,출근,7606
2016,1,동구,퇴근,7807
2016,1,동래구,출근,17735
2016,1,동래구,퇴근,20756
2016,1,부산진구,출근,13454
2016,1,부산진구,퇴근,17115
2016,1,북구,출근,16728
2016,1,북구,퇴근,19648
2016,1,사상구,출근,24715
2016,1,사상구,퇴근,23045
2016,1,사하구,출근,20310
2016,1,사하구,퇴근,19742
2016,1,서구,출근,10032
2016,1,서구,퇴근,8720
2016,1,수영구,출근,15089
2016,1,수영구,퇴근,17640
2016,1,연제구,출근,14608
2016,1,연제구,퇴근,16921
2016,1,영도구,출근,10342
2016,1,영도구,퇴근,9041
2016,1,중구,출근,8491
2016,1,중구,퇴근,12212
2016,1,해운대구,출근,20859
2016,1,해운대구,퇴근,24274
2016,2,강서구,출근,30732
2016,2,강서구,퇴근,20453
2016,2,금정구,출근,11996
2016,2,금정구,퇴근,12922
2016,2,기장군,출근,31846
2016,2,기장군,퇴근,30633
2016,2,남구,출근,12873
2016,2,남구,퇴근,14029
2016,2,동구,출근,7301
2016,2,동구,퇴근,7287
2016,2,동래구,출근,18299
2016,2,동래구,퇴근,21268
2016,2,부산진구,출근,13605
2016,2,부산진구,퇴근,17231
2016,2,북구,출근,16600
2016,2,북구,퇴근,19198
2016,2,사상구,출근,24563
2016,2,사상구,퇴근,23098
2016,2,사하구,출근,19902
2016,2,사하구,퇴근,19334
2016,2,서구,출근,9687
2016,2,서구,퇴근,8657
2016,2,수영구,출근,15125
2016,2,수영구,퇴근,17498
2016,2,연제구,출근,14826
2016,2,연제구,퇴근,16932
2016,2,영도구,출근,10166
2016,2,영도구,퇴근,9173
2016,2,중구,출근,8104
2016,2,중구,퇴근,12136
2016,2,해운대구,출근,19118
2016,2,해운대구,퇴근,22088
2016,3,강서구,출근,34615
2016,3,강서구,퇴근,22256
2016,3,금정구,출근,11491
2016,3,금정구,퇴근,12187
2016,3,기장군,출근,32176
2016,3,기장군,퇴근,29204
2016,3,남구,출근,12646
2016,3,남구,퇴근,13468
2016,3,동구,출근,7551
2016,3,동구,퇴근,7496
2016,3,동래구,출근,18419
2016,3,동래구,퇴근,20240
2016,3,부산진구,출근,14519
2016,3,부산진구,퇴근,17566
2016,3,북구,출근,17853
2016,3,북구,퇴근,19441
2016,3,사상구,출근,25562
2016,3,사상구,퇴근,23213
2016,3,사하구,출근,19995
2016,3,사하구,퇴근,18955
2016,3,서구,출근,9594
2016,3,서구,퇴근,8657
2016,3,수영구,출근,13789
2016,3,수영구,퇴근,15207
2016,3,연제구,출근,15647
2016,3,연제구,퇴근,17169
2016,3,영도구,출근,9474
2016,3,영도구,퇴근,8461
2016,3,중구,출근,7270
2016,3,중구,퇴근,9659
2016,3,해운대구,출근,20878
2016,3,해운대구,퇴근,23283
2016,4,강서구,출근,33881
2016,4,강서구,퇴근,23432
2016,4,금정구,출근,11642
2016,4,금정구,퇴근,12604
2016,4,기장군,출근,29203
2016,4,기장군,퇴근,27730
2016,4,남구,출근,12577
2016,4,남구,퇴근,13708
2016,4,동구,출근,7296
2016,4,동구,퇴근,7372
2016,4,동래구,출근,18027
2016,4,동래구,퇴근,20629
2016,4,부산진구,출근,13869
2016,4,부산진구,퇴근,17089
2016,4,북구,출근,17111
2016,4,북구,퇴근,19235
2016,4,사상구,출근,24464
2016,4,사상구,퇴근,23001
2016,4,사하구,출근,19437
2016,4,사하구,퇴근,19106
2016,4,서구,출근,9087
2016,4,서구,퇴근,8575
2016,4,수영구,출근,13473
2016,4,수영구,퇴근,15614
2016,4,연제구,출근,14686
2016,4,연제구,퇴근,16691
2016,4,영도구,출근,9883
2016,4,영도구,퇴근,9046
2016,4,중구,출근,7435
2016,4,중구,퇴근,10034
2016,4,해운대구,출근,19900
2016,4,해운대구,퇴근,22720
2016,5,강서구,출근,31858
2016,5,강서구,퇴근,22114
2016,5,금정구,출근,11594
2016,5,금정구,퇴근,12572
2016,5,기장군,출근,29986
2016,5,기장군,퇴근,28487
2016,5,남구,출근,12485
2016,5,남구,퇴근,13713
