BASE_YEAR,BASE_MONTH,GU_DC,PY_AVG_PC
2014,3,강서구,700
2014,3,금정구,700
2014,3,기장군,600
2014,3,남구,600
2014,3,동구,700
2014,3,동래구,700
2014,3,부산진구,700
2014,3,북구,600
2014,3,사상구,600
2014,3,사하구,500
2014,3,서구,700
2014,3,수영구,800
2014,3,연제구,700
2014,3,영도구,600
2014,3,중구,600
2014,3,해운대구,700
2014,6,강서구,700
2014,6,금정구,700
2014,6,기장군,600
2014,6,남구,700
2014,6,동구,700
2014,6,동래구,700
2014,6,부산진구,700
2014,6,북구,600
2014,6,사상구,600
2014,6,사하구,500
2014,6,서구,700
2014,6,수영구,800
2014,6,연제구,600
2014,6,영도구,600
2014,6,중구,700
2014,6,해운대구,700
2014,9,강서구,700
2014,9,금정구,700
2014,9,기장군,700
2014,9,남구,700
2014,9,동구,700
2014,9,동래구,700
2014,9,부산진구,700
2014,9,북구,600
2014,9,사상구,600
2014,9,사하구,500
2014,9,서구,700
2014,9,수영구,800
2014,9,연제구,600
2014,9,영도구,600
2014,9,중구,700
2014,9,해운대구,700
2014,12,강서구,700
2014,12,금정구,700
2014,12,기장군,700
2014,12,남구,700
2014,12,동구,700
2014,12,동래구,700
2014,12,부산진구,700
2014,12,북구,600
2014,12,사상구,600
2014,12,사하구,500
2014,12,서구,700
2014,12,수영구,800
2014,12,연제구,700
2014,12,영도구,600
2014,12,중구,600
2014,12,해운대구,700
2015,3,강서구,700
2015,3,금정구,700
2015,3,기장군,700
2015,3,남구,700
2015,3,동구,700
2015,3,동래구,700
2015,3,부산진구,700
2015,3,북구,600
2015,3,사상구,600
2015,3,사하구,500
2015,3,서구,700
2015,3,수영구,800
2015,3,연제구,700
2015,3,영도구,500
2015,3,중구,600
2015,3,해운대구,700
2015,6,강서구,700
2015,6,금정구,700
2015,6,기장군,700
2015,6,남구,700
2015,6,동구,700
2015,6,동래구,800
2015,6,부산진구,700
2015,6,북구,600
2015,6,사상구,600
2015,6,사하구,500
2015,6,서구,700
2015,6,수영구,900
2015,6,연제구,700
2015,6,영도구,600
2015,6,중구,700
2015,6,해운대구,800
2015,9,강서구,700
2015,9,금정구,700
2015,9,기장군,700
2015,9,남구,700
2015,9,동구,700
2015,9,동래구,800
2015,9,부산진구,700
2015,9,북구,600
2015,9,사상구,600
2015,9,사하구,500
2015,9,서구,700
2015,9,수영구,900
2015,9,연제구,700
2015,9,영도구,600
2015,9,중구,700
2015,9,해운대구,800
2015,12,강서구,700
2015,12,금정구,800
2015,12,기장군,700
2015,12,남구,700
2015,12,동구,700
2015,12,동래구,800
2015,12,부산진구,700
2015,12,북구,700
2015,12,사상구,600
2015,12,사하구,500
2015,12,서구,700
2015,12,수영구,900
2015,12,연제구,700
2015,12,영도구,600
2015,12,중구,700
2015,12,해운대구,800
2016,3,강서구,700
2016,3,금정구,700
2016,3,기장군,700
2016,3,남구,700
2016,3,동구,400
