BASE_YEAR,BASE_MONTH,CATE_DC,AGE_DC,CSP_PC
2016,1,생활서비스,60대이상,38874594351
2016,1,소매,10대,119567543
2016,1,소매,20대,43456132643
2016,1,소매,30대,150194114458
2016,1,소매,40대,191549052105
2016,1,소매,50대,119813446253
2016,1,소매,60대이상,42208961927
2016,1,음식,10대,91877572
2016,1,음식,20대,34765803645
2016,1,음식,30대,108676860580
2016,1,음식,40대,121903441592
2016,1,음식,50대,78406133349
2016,1,의료,20대,26232714783
2016,1,의료,30대,91991526123
2016,1,의료,40대,136897010951
2016,1,의료,50대,99195933083
2016,1,의료,60대이상,39001814995
2016,1,프랜차이즈_음식,10대,55465866
2016,2,생활서비스,60대이상,36308850953
2016,2,소매,10대,101738720
2016,2,소매,20대,41890779177
2016,2,소매,30대,143523598493
2016,2,소매,40대,185737346504
2016,2,소매,50대,114177687072
2016,2,소매,60대이상,39283953899
2016,2,음식,10대,89292020
2016,2,음식,20대,31090661668
2016,2,음식,30대,97607705090
2016,2,음식,40대,108357421512
2016,2,음식,50대,67007560480
2016,2,의료,10대,59848364
2016,2,의료,20대,29581880754
2016,2,의료,30대,92170514682
2016,2,의료,40대,117225512860
2016,2,의료,50대,97043022516
2016,2,의료,60대이상,38334667329
2016,3,생활서비스,50대,70788811807
2016,3,생활서비스,60대이상,39364034507
2016,3,소매,10대,121885977
2016,3,소매,20대,48108573595
2016,3,소매,30대,155786367945
2016,3,소매,40대,173047504857
2016,3,소매,50대,120009410120
2016,3,소매,60대이상,43696216094
2016,3,음식,10대,79835969
2016,3,음식,20대,31787706604
2016,3,음식,30대,99077386070
2016,3,음식,40대,108452508623
2016,3,의료,10대,135225489
2016,3,의료,20대,29614468126
2016,3,의료,30대,97628950422
2016,3,의료,40대,114334074178
2016,3,의료,50대,99690118433
2016,3,의료,60대이상,46272430728
2016,4,생활서비스,60대이상,36240101579
2016,4,소매,10대,102238456
2016,4,소매,20대,45095787230
2016,4,소매,30대,149122200459
2016,4,소매,40대,168868099326
2016,4,소매,50대,115549432588
2016,4,소매,60대이상,41641615591
2016,4,음식,10대,94253379
2016,4,음식,20대,33010245066
2016,4,음식,30대,101696649257
2016,4,음식,40대,110778523330
2016,4,음식,50대,73235084365
2016,4,의료,10대,94375111
2016,4,의료,20대,26149523018
2016,4,의료,30대,88806032148
2016,4,의료,40대,105171576134
2016,4,의료,50대,90688251051
2016,4,의료,60대이상,41255894888
2016,5,생활서비스,60대이상,35102814036
2016,5,소매,10대,134947914
2016,5,소매,20대,46590566660
2016,5,소매,30대,158025346047
2016,5,소매,40대,189846337088
2016,5,소매,50대,124005251555
2016,5,소매,60대이상,44059009476
2016,5,음식,10대,95703157
2016,5,음식,20대,35792083535
2016,5,음식,30대,112857128621
2016,5,음식,40대,124479968914
2016,5,음식,50대,77971406060
2016,5,의료,10대,92241393
2016,5,의료,20대,24920997303
2016,5,의료,30대,88741781754
2016,5,의료,40대,98180452672
2016,5,의료,50대,90142492331
2016,5,의료,60대이상,41265700706
2016,6,생활서비스,60대이상,33776154969
2016,6,소매,10대,102094506
2016,6,소매,20대,40717657104
2016,6,소매,30대,138082934931
2016,6,소매,40대,150666654714
2016,6,소매,50대,112689524406
2016,6,소매,60대이상,41510150346
2016,6,음식,10대,92209062
2016,6,음식,20대,32889820656
2016,6,음식,30대,99197606441
2016,6,음식,40대,108143700873
2016,6,음식,50대,71848766524
2016,6,의료,10대,50025262
2016,6,의료,20대,24514838891
2016,6,의료,30대,88689936874
2016,6,의료,40대,102719960957
2016,6,의료,50대,95169367305
2016,6,의료,60대이상,44216670134
2016,7,생활서비스,60대이상,34678241202
2016,7,소매,10대,118769294
2016,7,소매,20대,42845949784
2016,7,소매,30대,139882420593
2016,7,소매,40대,157148038477
2016,7,소매,50대,111158690471
2016,7,소매,60대이상,40177504721
2016,7,음식,10대,67850314
2016,7,음식,20대,34007171234
2016,7,음식,30대,103931290552
2016,7,음식,40대,117338623912
2016,7,음식,50대,77276924263
2016,7,의료,10대,48031591
2016,7,의료,20대,26136486101
2016,7,의료,30대,94150132102
2016,7,의료,40대,112906061407
2016,7,의료,50대,92447466010
2016,7,의료,60대이상,46319122505
2016,8,생활서비스,60대이상,34590995702
2016,8,소매,10대,108626291
2016,8,소매,20대,42310047372
2016,8,소매,30대,137602085455
2016,8,소매,40대,150009666165
2016,8,소매,50대,105362967973
2016,8,소매,60대이상,38833592163
2016,8,음식,10대,89693330
2016,8,음식,20대,34962255530
2016,8,음식,30대,105181535943
2016,8,음식,40대,118177815456
