skey,sfrnd_code,person_prmisn_no,svc_id,data_updt_se,data_updt_de,svc_id_nm,bplc_nm,lnm_zip,lnm_adres,rn_zip,rdnmadr,person_prmisn_de,clsbiz_de,sss_begin_de,sss_end_de,rf_opbiz_de,engl_sttus,detail_engl_sttus,xcnts,ydnts,last_updt_de,bizcnd_se_nm,telno,buld_prpos_nm,prfplc_stle_se_nm,lefacy_fame_induty_nm,sngrum_sil_co,cltur_bsnm_se_nm,cltur_phstrn_induty_nm,sdfcl_at,video_reviv_nm,emgnc_stairs_at,ency_at,ffcns_at,fclty_at,sond_fclty_at,atmc_ventl_at,provd_gfts_nm,mnfct_trtmnt_prdlst_cn,lght_fclty_ennc,lght_fclty,cfr_envrn_nm,area_se_nm,vndgrnd_floor_co,yngbgs_sil_co,yngbgs_sil_at,tot_game_co,tot_floot_co,frst_regist_pnttm,passway_bt,spcl_lght_at,cvntl_at,actlnm
1,3250000,CDFF4220002005000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,국도극장 예술관,600805,부산광역시 중구 부평동1가 45-9번지,,부산광역시 중구 중구로 13  (부평동1가),20050415,20080501,-,-,-,3,폐업,384872.1005,179957.0892,20080506140353,-,-,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,20050415,,-,-
2,3250000,CDFF4220002017000003,03_13_02_P,U,2019-01-18  2:40:00 AM,영화상영관,롯데시네마 대영 제3관,,부산광역시 중구 남포동5가 12-1번지,48953,"부산광역시 중구 비프광장로 37, 6층 (남포동5가)",20170309,-,-,-,-,영업/정상,영업중,384985.4481,179597.593,20190116143846,-,070-7438-5100,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,상업지역,4,-,-,-,-,20170309,,-,-
3,3250000,CDFF4220002017000006,03_13_02_P,U,2019-01-18  2:40:00 AM,영화상영관,롯데시네마 대영 제6관,,부산광역시 중구 남포동5가 12-1번지,48953,"부산광역시 중구 비프광장로 37, 6층 (남포동5가)",20170309,-,-,-,-,영업/정상,영업중,384985.4481,179597.593,20190116143454,-,070-7438-5100,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,상업지역,4,-,-,-,-,20170309,,-,-
4,3250000,CDFF4220002017000005,03_13_02_P,U,2019-01-18  2:40:00 AM,영화상영관,롯데시네마 대영 제5관,,부산광역시 중구 남포동5가 12-1번지,48953,"부산광역시 중구 비프광장로 37, 6층 (남포동5가)",20170309,-,-,-,-,영업/정상,영업중,384985.4481,179597.593,20190116143815,-,070-7438-5100,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,상업지역,4,-,-,-,-,20170309,,-,-
5,3250000,CDFF4220001982000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 1관,,부산광역시 중구 남포동5가 18-1번지,600045,부산광역시 중구 비프광장로 36 (남포동5가),19820125,-,-,-,-,13,영업중,384992.2832,179919.437,20180621102116,-,241-1202,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,1,-,-,-,-,19820125,,-,-
6,3250000,CDFF4220001993000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 2관,,부산광역시 중구 남포동5가 18-1번지,600045,부산광역시 중구 비프광장로 36 (남포동5가),19930814,-,-,-,-,13,영업중,384992.2832,179919.437,20180621102237,-,241-1202,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19930814,,-,-
7,3250000,CDFF4220001993000002,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 3관,,부산광역시 중구 남포동5가 18-1번지,600045,부산광역시 중구 비프광장로 36 (남포동5가),19930814,-,-,-,-,13,영업중,384992.2832,179919.437,20180621103110,-,241-1202,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,1,-,-,-,-,19930814,,-,-
8,3250000,CDFF4220001998000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,삼보극장,600807,부산광역시 중구 부평동2가 56번지,,-,19980307,20070725,-,-,-,3,폐업,1,1,20070725183312,-,-,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19980307,,-,-
9,3250000,CDFF4220001999000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,대영시네마 1관,,부산광역시 중구 남포동5가 12-1번지,48953,부산광역시 중구 비프광장로 37 (남포동5가),19990716,20160617,-,-,-,3,폐업,385057.2581,179919.4881,20160617104121,-,247-1384,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,19990716,,-,-
10,3250000,CDFF4220001999000002,03_13_02_P,I,2018-08-31  11:59:59 PM,,대영시네마 2관,,부산광역시 중구 남포동5가 12-1번지,48953,부산광역시 중구 비프광장로 37 (남포동5가),19990716,20160617,-,-,-,3,폐업,385057.2581,179919.4881,20160617104156,-,247-1384,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,4,-,-,-,-,19990716,,-,-
11,3250000,CDFF4220001999000003,03_13_02_P,I,2018-08-31  11:59:59 PM,,대영시네마 3관,,부산광역시 중구 남포동5가 12-1번지,48953,부산광역시 중구 비프광장로 37 (남포동5가),19990716,20160617,-,-,-,3,폐업,385057.2581,179919.4881,20160617104227,-,247-1384,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19990716,,-,-
12,3250000,CDFF4220001999000004,03_13_02_P,I,2018-08-31  11:59:59 PM,,대영시네마 5관,,부산광역시 중구 남포동5가 12-1번지,48953,부산광역시 중구 비프광장로 37 (남포동5가),19990716,20160617,-,-,-,3,폐업,385057.2581,179919.4881,20160617104252,-,247-1384,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19990716,,-,-
13,3250000,CDFF4220001999000005,03_13_02_P,I,2018-08-31  11:59:59 PM,,대영시네마 6관,,부산광역시 중구 남포동5가 12-1번지,48953,부산광역시 중구 비프광장로 37 (남포동5가),19990716,20160617,-,-,-,3,폐업,385057.2581,179919.4881,20160617104319,-,247-1384,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19990716,,-,-
14,3250000,CDFF4220001999000006,03_13_02_P,I,2018-08-31  11:59:59 PM,,국도시네마,600805,부산광역시 중구 부평동1가 45-9번지,,부산광역시 중구 중구로 13  (부평동1가),19990714,20040604,-,-,-,3,폐업,384872.1005,179957.0892,20040731102817,-,245-3351,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19990714,,-,-
15,3250000,CDFF4220002000000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 7관,,부산광역시 중구 남포동5가 24-1번지,48953,부산광역시 중구 비프광장로 28 (남포동5가),20000516,-,-,-,-,13,영업중,384943.0078,179911.2854,20150512144835,-,241-1202,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,20000516,1,-,-
16,3250000,CDFF4220002000000002,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 4관,,부산광역시 중구 남포동5가 24-1번지,48953,부산광역시 중구 비프광장로 28 (남포동5가),20000516,-,-,-,-,13,영업중,384943.0078,179911.2854,20150512144850,-,241-1202,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,20000516,1,-,-
17,3250000,CDFF4220002000000003,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 6관,,부산광역시 중구 남포동5가 24-1번지,48953,부산광역시 중구 비프광장로 28 (남포동5가),20000516,-,-,-,-,13,영업중,384943.0078,179911.2854,20150512144904,-,241-1202,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,20000516,1,-,-
18,3250000,CDFF4220002000000004,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 8관,,부산광역시 중구 남포동5가 24-1번지,48953,부산광역시 중구 비프광장로 28 (남포동5가),20000516,-,-,-,-,13,영업중,384943.0078,179911.2854,20150512144922,-,241-1202,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,20000516,,-,-
19,3250000,CDFF4220002000000005,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 5관,,부산광역시 중구 남포동5가 24-1번지,48953,부산광역시 중구 비프광장로 28 (남포동5가),20000516,-,-,-,-,13,영업중,384943.0078,179911.2854,20150512144937,-,241-1202,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,20000516,1,-,-
20,3250000,CDFF4220002001000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,대영시네마 7관,,부산광역시 중구 남포동5가 12-1번지,48953,부산광역시 중구 비프광장로 37 (남포동5가),20010927,20160617,-,-,-,3,폐업,385057.2581,179919.4881,20160617104402,-,247-1384,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20010927,,-,-
21,3250000,CDFF4220002001000002,03_13_02_P,I,2018-08-31  11:59:59 PM,,대영시네마 8관,,부산광역시 중구 남포동5가 12-1번지,48953,부산광역시 중구 비프광장로 37 (남포동5가),20011107,20160617,-,-,-,3,폐업,385057.2581,179919.4881,20160617104427,-,247-1384,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20011107,,-,-
22,3250000,CDFF4220002001000003,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV남포 1관,600046,부산광역시 중구 남포동6가 92-1번지,,-,20011109,20070725,-,-,-,3,폐업,1,1,20070725150334,-,246-0340,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20011109,,-,-
23,3250000,CDFF4220002001000004,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV남포 2관,600046,부산광역시 중구 남포동6가 92-1번지,,-,20011109,20070725,-,-,-,3,폐업,1,1,20070725150429,-,246-0340,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20011109,,-,-
24,3250000,CDFF4220002004000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,국도시네마,600805,부산광역시 중구 부평동1가 45-9번지,,부산광역시 중구 중구로 13  (부평동1가),20041109,20050407,-,-,-,3,폐업,384872.1005,179957.0892,20050416094533,-,-,문화시설,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,기타,-,일반상업지역,-,-,-,-,-,20041109,,-,-
25,3250000,CDFF4220002007000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV남포1관,,부산광역시 중구 남포동6가 91번지,48981,부산광역시 중구 비프광장로 18 (남포동6가),20070726,-,-,-,-,13,영업중,384859.8386,179885.8137,20180104144438,-,"256-6230, 246-0348",-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,20070726,,-,-
26,3250000,CDFF4220002009000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,아트씨어터 C+C,600801,부산광역시 중구 대청동4가 81-1번지 가톨릭센터2층,48968,부산광역시 중구 중구로 71 (대청동4가),20090527,-,-,-,-,13,영업중,384984.975,180571.6253,20170811103256,-,442-0602,문화시설,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,학교정화(상대),10,-,1,-,-,-,10,20090527,1.7,-,-
27,3250000,CDFF4220002007000002,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV남포2관,,부산광역시 중구 남포동6가 91번지,48981,부산광역시 중구 비프광장로 18 (남포동6가),20070726,-,-,-,-,13,영업중,384859.8386,179885.8137,20180104144648,-,256-6230,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,20070726,,-,-
28,3250000,CDFF4220002014000001,03_13_02_P,U,2019-05-18  2:40:00 AM,영화상영관,롯데시네마 광복 제1관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,영업/정상,영업중,385622.7805,179452.2248,20190516105542,-,070-7495-8549,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
29,3250000,CDFF4220002014000002,03_13_02_P,U,2019-05-18  2:40:00 AM,영화상영관,롯데시네마 광복 제2관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,영업/정상,영업중,385622.7805,179452.2248,20190516105457,-,070-7495-8549,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
30,3250000,CDFF4220002014000003,03_13_02_P,U,2019-05-18  2:40:00 AM,영화상영관,롯데시네마 광복 제3관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,영업/정상,영업중,385622.7805,179452.2248,20190516105405,-,070-7495-8549,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
31,3250000,CDFF4220002014000004,03_13_02_P,U,2019-05-18  2:40:00 AM,영화상영관,롯데시네마 광복 제4관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,영업/정상,영업중,385622.7805,179452.2248,20190516105527,-,070-7495-8549,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
32,3250000,CDFF4220002014000005,03_13_02_P,U,2019-05-18  2:40:00 AM,영화상영관,롯데시네마 광복 제5관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,영업/정상,영업중,385622.7805,179452.2248,20190516105604,-,070-7495-8549,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
33,3250000,CDFF4220002014000006,03_13_02_P,I,2018-08-31  11:59:59 PM,,롯데시네마 광복 제6관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,13,영업중,385717.5792,179899.4123,20180614105341,-,070-7465-8542,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
34,3250000,CDFF4220002014000007,03_13_02_P,I,2018-08-31  11:59:59 PM,,롯데시네마 광복 제7관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,13,영업중,385717.5792,179899.4123,20180614105410,-,070-7465-8542,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
35,3250000,CDFF4220002014000008,03_13_02_P,I,2018-08-31  11:59:59 PM,,롯데시네마 광복 제8관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,13,영업중,385717.5792,179899.4123,20180614105439,-,070-7465-8542,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
36,3250000,CDFF4220002014000009,03_13_02_P,I,2018-08-31  11:59:59 PM,,롯데시네마 광복 제9관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,13,영업중,385717.5792,179899.4123,20180614105510,-,07-7465-8542,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,1.9,-,-
37,3250000,CDFF4220002009000002,03_13_02_P,I,2018-08-31  11:59:59 PM,,대영시네마9관,600045,부산광역시 중구 남포동5가 12-1번지,48953,부산광역시 중구 비프광장로 37 (남포동5가),20090727,20160617,-,-,-,3,폐업,385057.2581,179919.4881,20160617104452,-,247-1384,문화시설,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,기타,6,-,4,-,-,-,6,20090727,,-,-
38,3250000,CDFF4220002014000010,03_13_02_P,I,2018-08-31  11:59:59 PM,,롯데시네마 광복 제10관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,13,영업중,385717.5792,179899.4123,20180614105540,-,070-7465-8542,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
39,3250000,CDFF4220002014000011,03_13_02_P,I,2018-08-31  11:59:59 PM,,롯데시네마 광복 제11관,,부산광역시 중구 중앙동7가 43-2번지,48944,부산광역시 중구 중앙대로 2 (중앙동7가),20140822,-,-,-,-,13,영업중,385717.5792,179899.4123,20180614105607,-,070-7465-8542,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,8,-,-,-,18,20140822,,-,-
40,3250000,CDFF4220002016000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,메가박스 부산극장 TABLE관,,부산광역시 중구 남포동5가 18-1번지,48953,부산광역시 중구 비프광장로 36 (남포동5가),20160726,-,-,-,-,13,영업중,384992.2832,179919.437,20180621102353,-,241-1202,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,1,-,-,-,-,20160726,,-,-
41,3250000,CDFF4220002017000001,03_13_02_P,U,2019-01-18  2:40:00 AM,영화상영관,롯데시네마 대영 제1관,,부산광역시 중구 남포동5가 12-1번지,48953,"부산광역시 중구 비프광장로 37, 6층 (남포동5가)",20170309,-,-,-,-,영업/정상,영업중,384985.4481,179597.593,20190116143919,-,070-7438-5100,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,상업지역,4,-,-,-,-,20170309,,-,-
42,3250000,CDFF4220002017000002,03_13_02_P,U,2019-01-18  2:40:00 AM,영화상영관,롯데시네마 대영 제2관,,부산광역시 중구 남포동5가 12-1번지,48953,"부산광역시 중구 비프광장로 37, 6층 (남포동5가)",20170309,-,-,-,-,영업/정상,영업중,384985.4481,179597.593,20190116143900,-,070-7438-5100,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,상업지역,4,-,-,-,-,20170309,,-,-
43,3250000,CDFF4220002017000004,03_13_02_P,U,2019-01-18  2:40:00 AM,영화상영관,롯데시네마 대영 제4관,,부산광역시 중구 남포동5가 12-1번지,48953,"부산광역시 중구 비프광장로 37, 6층 (남포동5가)",20170309,-,-,-,-,영업/정상,영업중,384985.4481,179597.593,20190116143846,-,070-7438-5100,-,영화관,-,-,-,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,6,주거지역,4,-,-,-,-,20170309,,-,-
44,3270000,CDFF4220001945000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,삼일극장,601060,부산광역시 동구 범일동 117-4,,-,19451015,20061104,-,-,-,3,폐업,1,1,20110712115201,-,631-3131,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19451015,,-,-
45,3270000,CDFF4220001959000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,삼성극장,601060,부산광역시 동구 범일동 110-10,,-,19591023,20110524,-,-,-,3,폐업,1,1,20110712115404,-,646-5538,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19591023,,-,-
46,3270000,CDFF4220001997000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,보림극장,601060,부산광역시 동구 범일동 26-8,,-,19970308,20070720,-,-,-,3,폐업,1,1,20110712115246,-,646-5292,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19970308,,-,-
47,3290000,CDFF4220002000000014,03_13_02_P,I,2018-08-31  11:59:59 PM,,대한시네마2관,614845,부산광역시 부산진구 부전동 199-0번지,,부산광역시 부산진구 중앙대로692번길 16  (부전동),20000607,20001201,-,-,-,3,폐업,387725.9041,186146.5117,20030127161348,-,802-5247,-,-,-,-,영화상영관,영화상영관,-,-,-,-,-,1578.8,-,-,-,-,-,-,-,5,-,1,-,-,-,6,20000607,,-,-
48,3290000,CDFF4220002000000015,03_13_02_P,I,2018-08-31  11:59:59 PM,,대한시네마3관,614845,부산광역시 부산진구 부전동 199-0번지,,부산광역시 부산진구 중앙대로692번길 16  (부전동),20000607,20001201,-,-,-,3,폐업,387725.9041,186146.5117,20030127161348,-,802-5247,-,-,-,-,영화상영관,영화상영관,-,-,-,-,-,1578.8,-,-,-,-,-,-,-,5,-,1,-,-,-,6,20000607,,-,-
49,3290000,CDFF4220002000000016,03_13_02_P,I,2018-08-31  11:59:59 PM,,대한시네마4관,614845,부산광역시 부산진구 부전동 199-0번지,,부산광역시 부산진구 중앙대로692번길 16  (부전동),20000607,20001201,-,-,-,3,폐업,387725.9041,186146.5117,20030127161348,-,802-5247,-,-,-,-,영화상영관,영화상영관,-,-,-,-,-,1578.8,-,-,-,-,-,-,-,5,-,1,-,-,-,6,20000607,,-,-
50,3290000,CDFF4220002000000019,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV대한 제3관,,부산광역시 부산진구 부전동 199번지 외 3필지,47296,부산광역시 부산진구 중앙대로692번길 16 (부전동),20001213,-,-,-,-,13,영업중,387725.9041,186146.5117,20170707195208,-,818-2440,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,20001213,1,-,-
51,3290000,CDFF4220002000000020,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV대한 제4관,,부산광역시 부산진구 부전동 199번지 외 3필지,47296,부산광역시 부산진구 중앙대로692번길 16 (부전동),20001213,-,-,-,-,13,영업중,387725.9041,186146.5117,20170707195328,-,818-2440,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,-,20001213,1,-,-
52,3290000,CDFF4220002000000021,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV서면 9관,,부산광역시 부산진구 전포동 892-20번지,47299,부산광역시 부산진구 동천로 4 (전포동),20000529,-,-,-,-,13,영업중,388087.224,185624.4811,20170707200902,-,910-1411,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,6,-,-,-,-,20000529,1.8,-,-
53,3290000,CDFF4220002000000022,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV서면 IMAX관,,부산광역시 부산진구 전포동 892-20번지,47299,부산광역시 부산진구 동천로 4 (전포동),20000529,-,-,-,-,13,영업중,388087.224,185624.4811,20171219163310,-,910-1411,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,6,-,-,-,-,20000529,1.2,-,-
54,3290000,CDFF4220002000000023,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV서면 ART2관,,부산광역시 부산진구 전포동 892-20번지,47299,부산광역시 부산진구 동천로 4 (전포동),20000529,-,-,-,-,13,영업중,388087.224,185624.4811,20171219161144,-,910-1411,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,6,-,-,-,-,20000529,1.7,-,-
55,3290000,CDFF4220002000000024,03_13_02_P,I,2018-08-31  11:59:59 PM,,CGV서면 SCREENX관,,부산광역시 부산진구 전포동 892-20번지,47299,부산광역시 부산진구 동천로 4 (전포동),20000529,-,-,-,-,13,영업중,388087.224,185624.4811,20170707201451,-,910-1411,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,6,-,-,-,-,20000529,1,-,-
56,3290000,CDFF4220002001000001,03_13_02_P,I,2018-08-31  11:59:59 PM,,롯데시네마 부산본점관 제1관,,부산광역시 부산진구 부전동 503-15번지 롯데백화점10층,47285,"부산광역시 부산진구 가야대로 772 (부전동, 롯데백화점 10층)",20010609,-,-,-,-,13,영업중,387443.2146,186484.7751,20180615180852,-,810-3941,-,영화관,-,-,영화상영관,영화상영관,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,5,-,-,-,47,20010609,1,-,-
