skey,dstnc_nm,dstnc_intrcn,locplc_rn,locplc_lnm_adres,la,lo,tot_lt,stor_co,appn_year,mgc_telno,mgc_nm,data_stnd_ymd,provd_instt_code,provd_instt_nm
1,생선회 특화지역,세계최대규모의 횟집 및 생선회 취급업소가 밀집한 민락횟촌,부산광역시 수영구 광안해변로~민락수변로 일원,부산광역시 수영구 민락동 110~181 중 일부,35.156926,129.126241,500,130,2011,051-610-4404,부산광역시 수영구청,2018-01-01,3380000,부산광역시 수영구
2,중리음식특화거리,천혜의 해양환경을 자랑하는 동삼동 중리지역을 중심으로 조성된 음식문화특화거리,부산광역시 영도구 절영로,부산광역시 영도구 동삼동 6002,35.0705288,129.0693003,600,32,2013,051-419-4412,영도구청 환경위생과,2018-08-14,3280000,부산광역시 영도구
3,40계단문화관광테마거리,6.25피난민들의 애환이 살아있는 40계단주변 테마거리,부산광역시 중구 중앙동4가 27,,35.1039176,129.0324054,1697,0,2002,051-600-4042,부산광역시 중구청,2018-08-13,3250000,부산광역시 중구
4,영화의거리,121년의 역사를 가진 부산영화의 메카로서 부산국제영화제가 탄생한 영화거리(BIFF광장 일원),부산광역시 중구 남포동6가 85,,35.098738,129.027566,400,100,1996,051-600-4062,부산광역시 중구청,2018-08-13,3250000,부산광역시 중구
5,보수동책방골목거리,6.25피난시절 자연발생한국내 유일의 헌책방 테마거리,부산광역시 중구 보수동1가 119,,35.103456,129.026533,350,50,2009,051-600-4062,부산광역시 중구청,2018-08-13,3250000,부산광역시 중구
6,엔터테이너 거리,광복동/남포동 뒷골목 문화예술인들의 스토리와 엔터테이너들의 추억담을 들을 수 있는 테마거리,부산광역시 중구 남포길/구덕로14번길,,35.098512,129.032231,630,100,2017,051-600-4082,부산광역시 중구청,2018-08-13,3250000,부산광역시 중구
7,유엔참전기념거리,유엔평화문화특구 내 테마거리,부산광역시 남구 유엔평화로,부산광역시 남구 대연동 89123번지 일원,,,5040,100,2010,051-607-4045,부산광역시 남구청,2018-08-20,3310000,부산광역시 남구
8,충무동 골목시장 고갈비특화거리,충무동 골목시장에 추억의 향토음식인 고갈비를 특화한 거리로 골목시장 사거리에 있는 일명 파전골목 을 기존 건물의 간,부산광역시 서구 충무시장길 30(충무동1가),부산광역시 서구 충무동1가 29,35.095266,129.023267,568,98,2017,051-240-4475,부산광역시 서구청,2018-08-14,3260000,부산광역시 서구
9,만덕민속 오리불고기단지,오리불고기 업체 다수,부산광역시 북구 만덕고개길 71,부산광역시 북구 만덕고개길 71,,,2000,24,2015,051-309-4304,부산광역시 북구,2018-08-23,3320000,부산광역시 북구
10,젊음의 거리,젊음의 거리,부산광역시 북구 덕천동,부산광역시 북구 덕천동 400번지,,,300,100,2011,051-309-4304,부산광역시 북구,2018-08-23,3320000,부산광역시 북구
11,구포 명품 피아노 특화거리,피아노 상가 다수,부산광역시 북구 구포동,부산광역시 북구 구포동,,,320,5,2012,051-309-4304,부산광역시 북구,2018-08-23,3320000,부산광역시 북구
12,구포만세길,3.1운동 기념 거리,부산광역시 북구 구포동,부산광역시 북구 구포동,,,100,0,2012,051-309-4304,부산광역시 북구,2018-08-23,3320000,부산광역시 북구
13,전포카페거리,번화가인 서면1번가 맞은편 쪽에는 아기자기하게 꾸며놓은 개성있는 카페 30여곳이 들어서 있는 카페거리는 원래 공구/철물 등 산업용품 및 자재,부산광역시 부산진구 전포대로209번길 26,부산광역시 부산진구 전포동 682번지 일원,,,1050,35,2012,051-605-5825,부산광역시 부산진구청,2018-08-31,3290000,부산광역시 부산진구
14,서면특화거리,부산을 대표하는 중심 번화가로 상업/문화/교통/의료 등의 중심지로 유동인구가 가장 많은 지역이며 국내외 관광객 및 시민들에게 즐길거리,부산광역시 부산진구 중앙대로 702번길 33 일원,부산광역시 부산진구 부전동 168448번지 일원,,,2110,2219,2008,051-605-5825,부산광역시 부산진구청,2018-08-31,3290000,부산광역시 부산진구
15,명품가로공원,도심 속 일상생활에서 접할 수 있는 다양한 수목과 초화/수경시설을 만날 수 있는 쉼터,부산광역시 사상구 광장로,부산광역시 사상구 괘법동 57221,35.162814,128.981619,700,12,2013,051-310-4536,부산광역시 사상구청,2018-10-31,3390000,부산광역시 사상구
16,연제평생학습특화거리,배움을 공유하고 많은 지식을 얻을 수 있는 연제구 평생학습 특화거리,부산광역시 연제구 아시아드대로 22번길,부산광역시 연제구 거제동,35.187395,129.070151,240,10,2013,051-665-4504,부산광역시 연제구청,2019-02-27,3370000,부산광역시 연제구
