,인구수,교통,학교수,1근린,2근린,행사수,치안율,아파트평당가격
강서구,133231,83.0,34,4.0,91.0,350.0,74.39372325249643,900.0
금정구,245670,55.0,48,17.0,37.0,1234.0,85.8413427054942,900.0
기장군,167231,40.0,33,7.0,83.0,501.0,84.01909524892021,725.0
남구,283267,69.0,46,19.0,72.0,4343.0,81.61303462321791,850.0
동구,89692,24.0,19,20.0,5.0,521.0,85.5959595959596,500.0
동래구,271004,71.0,49,41.0,50.0,1603.0,82.96682817741333,1000.0
부산진구,362296,75.0,68,117.0,40.0,2048.0,74.35436207118076,900.0
북구,294030,75.0,52,23.0,75.0,1021.0,87.08906996347288,750.0
사상구,225751,78.0,37,26.0,46.0,719.0,88.08976612140057,700.0
사하구,327956,104.0,57,31.0,78.0,1163.0,79.5860886602988,500.0
서구,111044,25.0,23,17.0,29.0,596.0,85.51226551226551,800.0
수영구,178484,22.0,20,33.0,17.0,1825.0,81.61303462321791,1100.0
연제구,210393,33.0,29,22.0,25.0,1393.0,77.87599754450585,850.0
영도구,119602,25.0,30,5.0,33.0,568.0,110.19149626744564,500.0
중구,44223,25.0,9,23.0,12.0,246.0,79.48572508980905,500.0
해운대구,411445,48.0,66,46.0,73.0,3822.0,82.81534066314606,1000.0
