GUGUN,인구수,교통,학교수,1근린,2근린,행사수,치안율,아파트평당가격
부산_강서구,133231.0,83.0,34.0,4.0,91.0,350.0,74.39372325249643,900.0
부산_금정구,245670.0,55.0,48.0,17.0,37.0,1234.0,85.8413427054942,900.0
부산_기장군,167231.0,40.0,33.0,7.0,83.0,501.0,84.01909524892021,725.0
부산_남구,283267.0,69.0,46.0,19.0,72.0,4343.0,81.61303462321791,850.0
부산_동구,89692.0,24.0,19.0,20.0,5.0,521.0,85.5959595959596,500.0
부산_동래구,271004.0,71.0,49.0,41.0,50.0,1603.0,82.96682817741333,1000.0
부산_부산진구,362296.0,75.0,68.0,117.0,40.0,2048.0,74.35436207118076,900.0
부산_북구,294030.0,75.0,52.0,23.0,75.0,1021.0,87.08906996347288,750.0
부산_사상구,225751.0,78.0,37.0,26.0,46.0,719.0,88.08976612140057,700.0
부산_사하구,327956.0,104.0,57.0,31.0,78.0,1163.0,79.5860886602988,500.0
부산_서구,111044.0,25.0,23.0,17.0,29.0,596.0,85.51226551226551,800.0
부산_수영구,178484.0,22.0,20.0,33.0,17.0,1825.0,81.61303462321791,1100.0
부산_연제구,210393.0,33.0,29.0,22.0,25.0,1393.0,77.87599754450585,850.0
부산_영도구,119602.0,25.0,30.0,5.0,33.0,568.0,110.19149626744564,500.0
부산_중구,44223.0,25.0,9.0,23.0,12.0,246.0,79.48572508980905,500.0
부산_해운대구,411445.0,48.0,66.0,46.0,73.0,3822.0,82.81534066314606,1000.0
울산_남구,336914.0,135.0,61.0,159.0,145.0,189.0,84.73188702415064,924.0
울산_동구,169673.0,208.0,34.0,33.0,78.0,23.0,81.61284300914691,726.0
울산_북구,207284.0,183.0,44.0,24.0,59.0,130.0,78.22445561139028,710.0
울산_울주군,228528.0,203.0,57.0,21.0,14.0,21.0,81.60208401172257,709.0
울산_중구,237012.0,64.0,41.0,49.0,142.0,30.0,82.32044198895028,883.0
인천_강화군,102795.0,37.0,38.0,4.0,5.0,4.0,86.14457831325302,385.0
인천_계양구,434104.0,151.0,52.0,24.0,26.0,7.0,89.5453409942543,812.0
인천_남동구,768394.0,206.0,76.0,79.0,53.0,29.0,81.5540289639807,925.0
인천_동구,94559.0,15.0,14.0,9.0,5.0,4.0,81.554029,696.0
인천_미추홀구,607867.0,122.0,50.0,42.0,58.0,0.0,80.24879965080751,826.0
인천_부평구,744602.0,369.0,82.0,58.0,36.0,19.0,81.59709163846055,974.0
인천_서구,771003.0,746.0,84.0,41.0,178.0,5.0,82.80074539305679,983.0
인천_연수구,501760.0,467.0,61.0,34.0,13.0,31.0,88.12034303388162,1273.0
인천_옹진군,32560.0,0.0,16.0,0.0,5.0,1.0,83.29478740437645,0.0
인천_중구,196155.0,319.0,35.0,11.0,20.0,29.0,75.47981854135162,853.0
