,백화점수,행사수,병원수,도서관수,시장수,공원수,인구수,아파트평당가격,치안율,학교수,역명,주차장수,버스수,교통수
강화군,0.0,4.0,1.0,2.0,3.0,3.0,102795.0,385.0,86.14457831325302,38.0,0.0,0.0,37.0,37.0
계양구,0.0,7.0,21.0,4.0,3.0,22.0,434104.0,812.0,89.5453409942543,52.0,7.0,4.0,140.0,151.0
남동구,0.0,29.0,72.0,4.0,7.0,49.0,768394.0,925.0,81.5540289639807,76.0,10.0,6.0,190.0,206.0
동구,0.0,4.0,2.0,1.0,7.0,4.0,94559.0,696.0,81.554029,14.0,0.0,1.0,14.0,15.0
미추홀구,1.0,0.0,20.0,13.0,21.0,45.0,607867.0,826.0,80.24879965080751,50.0,4.0,2.0,116.0,122.0
부평구,2.0,19.0,50.0,36.0,6.0,0.0,744602.0,974.0,81.59709163846055,82.0,6.0,4.0,359.0,369.0
서구,0.0,5.0,35.0,69.0,6.0,109.0,771003.0,983.0,82.80074539305679,84.0,17.0,0.0,729.0,746.0
연수구,1.0,31.0,31.0,13.0,2.0,0.0,501760.0,1273.0,88.12034303388162,61.0,12.0,6.0,449.0,467.0
옹진군,0.0,1.0,0.0,5.0,0.0,0.0,32560.0,0.0,83.29478740437645,16.0,0.0,0.0,0.0,0.0
중구,0.0,29.0,8.0,16.0,3.0,4.0,196155.0,853.0,75.47981854135162,35.0,0.0,12.0,307.0,319.0
